"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 09, 2012","7.02","7.02","7.02","7.02","0","3.24"
"Jul 10, 2012","7.20","7.20","7.20","7.20","0","2.56"
"Jul 11, 2012","7.15","7.15","7.15","7.15","0","-0.69"
"Jul 12, 2012","7.76","7.76","7.76","7.76","0","8.53"
"Jul 13, 2012","7.67","7.67","7.67","7.67","0","-1.16"
"Jul 14, 2012","7.54","7.54","7.54","7.54","0","-1.69"
"Jul 15, 2012","7.62","7.62","7.62","7.62","0","1.06"
"Jul 16, 2012","8.50","8.50","8.50","8.50","0","11.55"
"Jul 17, 2012","8.80","8.80","8.80","8.80","0","3.53"
"Jul 18, 2012","9.11","9.11","9.11","9.11","0","3.52"
"Jul 19, 2012","8.87","8.87","8.87","8.87","0","-2.63"
"Jul 20, 2012","8.52","8.52","8.52","8.52","0","-3.95"
"Jul 21, 2012","8.85","8.85","8.85","8.85","0","3.87"
"Jul 22, 2012","8.41","8.41","8.41","8.41","0","-4.97"
"Jul 23, 2012","8.45","8.45","8.45","8.45","0","0.48"
"Jul 24, 2012","8.60","8.60","8.60","8.60","0","1.78"
"Jul 25, 2012","8.80","8.80","8.80","8.80","0","2.33"
"Jul 26, 2012","8.90","8.90","8.90","8.90","0","1.14"
"Jul 27, 2012","8.90","8.90","8.90","8.90","0","0.00"
"Jul 28, 2012","8.89","8.89","8.89","8.89","0","-0.11"
"Jul 29, 2012","8.71","8.71","8.71","8.71","0","-2.02"
"Jul 30, 2012","9.10","9.10","9.10","9.10","0","4.48"
"Jul 31, 2012","9.35","9.35","9.35","9.35","0","2.75"
"Aug 01, 2012","9.55","9.55","9.55","9.55","0","2.14"
"Aug 02, 2012","10.53","10.53","10.53","10.53","0","10.26"
"Aug 03, 2012","10.97","10.97","10.97","10.97","0","4.18"
"Aug 04, 2012","10.98","10.98","10.98","10.98","0","0.09"
"Aug 05, 2012","10.87","10.87","10.87","10.87","0","-1.00"
"Aug 06, 2012","10.86","10.86","10.86","10.86","0","-0.09"
"Aug 07, 2012","11.10","11.10","11.10","11.10","0","2.21"
"Aug 08, 2012","11.06","11.06","11.06","11.06","0","-0.36"
"Aug 09, 2012","11.06","11.06","11.06","11.06","0","0.00"
"Aug 10, 2012","11.39","11.39","11.39","11.39","0","2.98"
"Aug 11, 2012","11.51","11.51","11.51","11.51","0","1.05"
"Aug 12, 2012","11.62","11.62","11.62","11.62","0","0.96"
"Aug 13, 2012","12.04","12.04","12.04","12.04","0","3.61"
"Aug 14, 2012","12.19","12.19","12.19","12.19","0","1.25"
"Aug 15, 2012","13.25","13.25","13.25","13.25","0","8.70"
"Aug 16, 2012","13.50","13.50","13.50","13.50","0","1.89"
"Aug 17, 2012","11.58","11.58","11.58","11.58","0","-14.22"
"Aug 18, 2012","11.61","11.61","11.61","11.61","0","0.26"
"Aug 19, 2012","8.00","8.00","8.00","8.00","0","-31.09"
"Aug 20, 2012","10.10","10.10","10.10","10.10","0","26.25"
"Aug 21, 2012","9.91","9.91","9.91","9.91","0","-1.88"
"Aug 22, 2012","9.81","9.81","9.81","9.81","0","-1.01"
"Aug 23, 2012","10.10","10.10","10.10","10.10","0","2.96"
"Aug 24, 2012","10.60","10.60","10.60","10.60","0","4.95"
"Aug 25, 2012","10.52","10.52","10.52","10.52","0","-0.75"
"Aug 26, 2012","10.61","10.61","10.61","10.61","0","0.86"
"Aug 27, 2012","10.95","10.95","10.95","10.95","0","3.20"
"Aug 28, 2012","10.94","10.94","10.94","10.94","0","-0.09"
"Aug 29, 2012","10.92","10.92","10.92","10.92","0","-0.18"
"Aug 30, 2012","10.78","10.78","10.78","10.78","0","-1.28"
"Aug 31, 2012","10.16","10.16","10.16","10.16","0","-5.75"
"Sep 01, 2012","9.97","9.97","9.97","9.97","0","-1.87"
"Sep 02, 2012","10.20","10.20","10.20","10.20","0","2.31"
"Sep 03, 2012","10.53","10.53","10.53","10.53","0","3.24"
"Sep 04, 2012","10.38","10.38","10.38","10.38","0","-1.42"
"Sep 05, 2012","11.00","11.00","11.00","11.00","0","5.97"
"Sep 06, 2012","11.18","11.18","11.18","11.18","0","1.64"
"Sep 07, 2012","11.00","11.00","11.00","11.00","0","-1.61"
"Sep 08, 2012","11.04","11.04","11.04","11.04","0","0.36"
"Sep 09, 2012","11.02","11.02","11.02","11.02","0","-0.18"
"Sep 10, 2012","11.17","11.17","11.17","11.17","0","1.36"
"Sep 11, 2012","11.33","11.33","11.33","11.33","0","1.43"
"Sep 12, 2012","11.36","11.36","11.36","11.36","0","0.26"
"Sep 13, 2012","11.40","11.40","11.40","11.40","0","0.35"
"Sep 14, 2012","11.67","11.67","11.67","11.67","0","2.37"
"Sep 15, 2012","11.75","11.75","11.75","11.75","0","0.69"
"Sep 16, 2012","11.87","11.87","11.87","11.87","0","1.02"
"Sep 17, 2012","11.89","11.89","11.89","11.89","0","0.17"
"Sep 18, 2012","12.25","12.25","12.25","12.25","0","3.03"
"Sep 19, 2012","12.57","12.57","12.57","12.57","0","2.61"
"Sep 20, 2012","12.28","12.28","12.28","12.28","0","-2.31"
"Sep 21, 2012","12.37","12.37","12.37","12.37","0","0.73"
"Sep 22, 2012","12.24","12.24","12.24","12.24","0","-1.05"
"Sep 23, 2012","12.19","12.19","12.19","12.19","0","-0.41"
"Sep 24, 2012","12.10","12.10","12.10","12.10","0","-0.74"
"Sep 25, 2012","12.20","12.20","12.20","12.20","0","0.83"
"Sep 26, 2012","12.27","12.27","12.27","12.27","0","0.57"
"Sep 27, 2012","12.31","12.31","12.31","12.31","0","0.33"
"Sep 28, 2012","12.39","12.39","12.39","12.39","0","0.65"
"Sep 29, 2012","12.36","12.36","12.36","12.36","0","-0.24"
"Sep 30, 2012","12.40","12.40","12.40","12.40","0","0.32"
"Oct 01, 2012","12.40","12.40","12.40","12.40","0","0.00"
"Oct 02, 2012","12.84","12.84","12.84","12.84","0","3.55"
"Oct 03, 2012","12.89","12.89","12.89","12.89","0","0.39"
"Oct 04, 2012","12.85","12.85","12.85","12.85","0","-0.31"
"Oct 05, 2012","12.69","12.69","12.69","12.69","0","-1.25"
"Oct 06, 2012","12.50","12.50","12.50","12.50","0","-1.50"
"Oct 07, 2012","11.80","11.80","11.80","11.80","0","-5.60"
"Oct 08, 2012","11.78","11.78","11.78","11.78","0","-0.17"
"Oct 09, 2012","11.89","11.89","11.89","11.89","0","0.93"
"Oct 10, 2012","12.12","12.12","12.12","12.12","0","1.93"
"Oct 11, 2012","12.03","12.03","12.03","12.03","0","-0.74"
"Oct 12, 2012","12.00","12.00","12.00","12.00","0","-0.25"
"Oct 13, 2012","11.86","11.86","11.86","11.86","0","-1.17"
"Oct 14, 2012","11.74","11.74","11.74","11.74","0","-1.01"
"Oct 15, 2012","11.84","11.84","11.84","11.84","0","0.85"
"Oct 16, 2012","11.85","11.85","11.85","11.85","0","0.08"
"Oct 17, 2012","11.81","11.81","11.81","11.81","0","-0.34"
"Oct 18, 2012","11.94","11.94","11.94","11.94","0","1.10"
"Oct 19, 2012","11.74","11.74","11.74","11.74","0","-1.68"
"Oct 20, 2012","11.74","11.74","11.74","11.74","0","0.00"
"Oct 21, 2012","11.63","11.63","11.63","11.63","0","-0.94"
"Oct 22, 2012","11.71","11.71","11.71","11.71","0","0.69"
"Oct 23, 2012","11.65","11.65","11.65","11.65","0","-0.51"
"Oct 24, 2012","11.65","11.65","11.65","11.65","0","0.00"
"Oct 25, 2012","10.86","10.86","10.86","10.86","0","-6.78"
"Oct 26, 2012","10.17","10.17","10.17","10.17","0","-6.35"
"Oct 27, 2012","10.26","10.26","10.26","10.26","0","0.88"
